timestamp,zone_id,zone_name,location_lat,location_lng,hourly_pedestrian_inflow,hourly_pedestrian_outflow,estimated_active_occupancy,density_percentage,risk_tier,avg_walking_velocity_kmh,bottleneck_triggered
2015-08-29T00:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,4500,3825,10000,20.0,LOW,4.8,NO
2015-08-29T00:00:00Z,panchavati,Panchavati & Kalaram Corridor,20.0028,73.7946,3213,2731,7140,17.0,LOW,4.8,NO
2015-08-29T00:00:00Z,kushavarta,Kushavarta Kund Trimbakeshwar,19.9324,73.5308,3150,2677,7000,20.0,LOW,4.8,NO
2015-08-29T00:00:00Z,tapovan,Tapovan Akhada Grounds,19.9961,73.8188,6120,5202,13600,17.0,LOW,4.8,NO
2015-08-29T01:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,4950,4207,11000,22.0,LOW,4.8,NO
2015-08-29T01:00:00Z,panchavati,Panchavati & Kalaram Corridor,20.0028,73.7946,3534,3003,7854,18.7,LOW,4.8,NO
2015-08-29T01:00:00Z,kushavarta,Kushavarta Kund Trimbakeshwar,19.9324,73.5308,3465,2945,7700,22.0,LOW,4.8,NO
2015-08-29T01:00:00Z,tapovan,Tapovan Akhada Grounds,19.9961,73.8188,6732,5722,14960,18.7,LOW,4.8,NO
2015-08-29T02:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,5400,4590,12000,24.0,LOW,4.8,NO
2015-08-29T02:00:00Z,panchavati,Panchavati & Kalaram Corridor,20.0028,73.7946,3855,3276,8568,20.4,LOW,4.8,NO
2015-08-29T02:00:00Z,kushavarta,Kushavarta Kund Trimbakeshwar,19.9324,73.5308,3780,3213,8400,24.0,LOW,4.8,NO
2015-08-29T02:00:00Z,tapovan,Tapovan Akhada Grounds,19.9961,73.8188,7343,6241,16319,20.4,LOW,4.8,NO
2015-08-29T03:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,16875,14343,37500,75.0,HIGH,2.7,YES
2015-08-29T03:00:00Z,panchavati,Panchavati & Kalaram Corridor,20.0028,73.7946,12058,10249,26796,63.8,HIGH,2.7,NO
2015-08-29T03:00:00Z,kushavarta,Kushavarta Kund Trimbakeshwar,19.9324,73.5308,11812,10040,26250,75.0,HIGH,2.7,YES
2015-08-29T03:00:00Z,tapovan,Tapovan Akhada Grounds,19.9961,73.8188,22968,19522,51040,63.8,HIGH,2.7,NO
2015-08-29T04:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,17550,14917,39000,78.0,HIGH,2.7,YES
2015-08-29T04:00:00Z,panchavati,Panchavati & Kalaram Corridor,20.0028,73.7946,12530,10650,27845,66.3,HIGH,2.7,NO
2015-08-29T04:00:00Z,kushavarta,Kushavarta Kund Trimbakeshwar,19.9324,73.5308,12285,10442,27300,78.0,HIGH,2.7,YES
2015-08-29T04:00:00Z,tapovan,Tapovan Akhada Grounds,19.9961,73.8188,23867,20286,53039,66.3,HIGH,2.7,NO
2015-08-29T05:00:00Z,ram-kund,Ram Kund Central Ghat,19.9995,73.7915,18225,15491,40500,81.0,CRITICAL,1.8,YES
